date,county,republican,libertarian,democratic,constitution,npa_ind,other,inactive
2018-07-02,Aurora,795,1,752,,259,3,91
2018-07-02,Beadle,4323,18,3337,5,2155,43,929
2018-07-02,Bennett,671,2,816,,317,2,206
2018-07-02,Bon Homme,2050,11,1238,2,613,,308
2018-07-02,Brookings,7526,73,5115,23,5160,23,1734
2018-07-02,Brown,10234,60,8150,7,4173,40,2436
2018-07-02,Brule,1446,9,1198,5,550,2,233
2018-07-02,Buffalo,167,1,619,,113,1,81
2018-07-02,Butte,3834,31,968,8,1281,4,969
2018-07-02,Campbell,898,,122,,86,,121
2018-07-02,Charles Mix,2323,3,2339,2,857,,431
2018-07-02,Clark,1368,3,726,3,364,2,199
2018-07-02,Clay,2397,35,2835,3,2131,8,917
2018-07-02,Codington,8046,27,4692,13,3639,25,1740
2018-07-02,Corson,641,7,1177,2,438,7,250
2018-07-02,Custer,3814,21,1127,6,1383,19,817
2018-07-02,Davison,5329,18,3270,3,2421,26,1197
2018-07-02,Day,1512,9,1774,2,654,12,278
2018-07-02,Deuel,1324,9,819,7,675,,287
2018-07-02,Dewey,712,3,1998,1,558,5,201
2018-07-02,Douglas,1564,2,314,,196,,152
2018-07-02,Edmunds,1484,8,791,,400,5,192
2018-07-02,Fall River,2907,22,940,2,1177,20,609
2018-07-02,Faulk,1047,,277,1,245,,93
2018-07-02,Grant,2266,9,1423,2,923,11,555
2018-07-02,Gregory,1508,5,920,2,314,,130
2018-07-02,Haakon,1050,1,184,1,132,,39
2018-07-02,Hamlin,2507,2,718,,562,2,267
2018-07-02,Hand,1451,3,628,1,258,1,127
2018-07-02,Hanson,1583,3,787,3,694,2,560
2018-07-02,Harding,755,,102,,81,,68
2018-07-02,Hughes,6915,37,2303,4,1826,12,825
2018-07-02,Hutchinson,3255,3,1027,7,693,3,176
2018-07-02,Hyde,644,,211,,101,3,89
2018-07-02,Jackson,809,3,632,1,300,13,156
2018-07-02,Jerauld,640,3,464,1,182,,43
2018-07-02,Jones,514,1,91,,82,,36
2018-07-02,Kingsbury,1952,10,906,1,566,1,216
2018-07-02,Lake,4679,35,2878,2,2377,4,1062
2018-07-02,Lawrence,8889,96,3597,11,3846,16,2123
2018-07-02,Lincoln,17774,100,8603,35,9034,30,3070
2018-07-02,Lyman,1112,5,818,,265,1,147
2018-07-02,Marshall,1065,9,1192,,491,1,212
2018-07-02,McCook,1791,15,1063,6,713,,236
2018-07-02,McPherson,1258,8,270,,223,1,121
2018-07-02,Meade,9771,82,2971,29,3729,7,1568
2018-07-02,Mellette,477,1,471,1,140,,133
2018-07-02,Miner,590,2,613,1,284,1,76
2018-07-02,Minnehaha,45544,422,35417,128,30132,153,15162
2018-07-02,Moody,1509,6,1595,4,936,4,319
2018-07-02,Oglala Lakota,527,10,5365,2,1809,48,888
2018-07-02,Pennington,34367,360,15889,91,18737,145,7934
2018-07-02,Perkins,1396,6,397,3,331,5,167
2018-07-02,Potter,1304,1,281,2,149,2,107
2018-07-02,Roberts,1934,6,3063,4,1273,17,654
2018-07-02,Sanborn,828,3,484,1,221,3,80
2018-07-02,Spink,2144,5,1339,,612,4,340
2018-07-02,Stanley,1327,2,439,2,280,,139
2018-07-02,Sully,759,,210,,113,1,52
2018-07-02,Todd,678,6,2915,3,862,7,733
2018-07-02,Tripp,2207,4,909,7,535,1,313
2018-07-02,Turner,3043,8,1422,2,1087,11,316
2018-07-02,Union,5308,24,2681,12,3086,12,1422
2018-07-02,Walworth,2406,7,774,4,477,1,315
2018-07-02,Yankton,6119,50,4034,5,3258,14,1188
2018-07-02,Ziebach,401,4,836,,285,3,145
